code,label,descruption,distance,specific,values
A,Enterocolitis due to Clostridium difficile,"Enterocolitis due to Clostridium difficile",1,0,Enterocolitis due to Clostridium difficile
A,Enterocolitis due to Clostridium difficile,"Enterocolitis due to Clostridium difficile",1,1,""
A,Amoebic liver abscess (K77.0 *),Amoebic liver abscess (K77.0*),1,0,Amoebic liver abscess (K77.0
A,Amoebic liver abscess (K77.0 *),Amoebic liver abscess (K77.0*),1,-1, 
A,Amoebic liver abscess (K77.0 *),Amoebic liver abscess (K77.0*),1,0,*)
A,Amoebic lung abscess (J99.8 *),Amoebic lung abscess (J99.8*),1,0,Amoebic lung abscess (J99.8
A,Amoebic lung abscess (J99.8 *),Amoebic lung abscess (J99.8*),1,-1, 
A,Amoebic lung abscess (J99.8 *),Amoebic lung abscess (J99.8*),1,0,*)
A,Amoebic brain abscess (G07 *),Amoebic brain abscess (G07*),1,0,Amoebic brain abscess (G07
A,Amoebic brain abscess (G07 *),Amoebic brain abscess (G07*),1,-1, 
A,Amoebic brain abscess (G07 *),Amoebic brain abscess (G07*),1,0,*)
A,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculosis of lung, confirmed by sputum microscopy or bacteriologically with or without 
culture",22,0,"Tuberculosis of lung, confirmed by sputum microscopy "
A,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculosis of lung, confirmed by sputum microscopy or bacteriologically with or without 
culture",22,1,or bacteriologically 
A,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculosis of lung, confirmed by sputum microscopy or bacteriologically with or without 
culture",22,0,with or without 
A,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculosis of lung, confirmed by sputum microscopy or bacteriologically with or without 
culture",22,1,"
"
A,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculosis of lung, confirmed by sputum microscopy or bacteriologically with or without 
culture",22,0,culture
A,"Tuberculosis of lung, bacteriological and histological examination not done","Tuberculosis of lung ,bacteriological and histological examination not done",2,0,Tuberculosis of lung
A,"Tuberculosis of lung, bacteriological and histological examination not done","Tuberculosis of lung ,bacteriological and histological examination not done",2,-1,","
A,"Tuberculosis of lung, bacteriological and histological examination not done","Tuberculosis of lung ,bacteriological and histological examination not done",2,0, 
A,"Tuberculosis of lung, bacteriological and histological examination not done","Tuberculosis of lung ,bacteriological and histological examination not done",2,1,","
A,"Tuberculosis of lung, bacteriological and histological examination not done","Tuberculosis of lung ,bacteriological and histological examination not done",2,0,bacteriological and histological examination not done
A,Tuberculous meningitis (G01 *),Tuberculous meningitis (G01*),1,0,Tuberculous meningitis (G01
A,Tuberculous meningitis (G01 *),Tuberculous meningitis (G01*),1,-1, 
A,Tuberculous meningitis (G01 *),Tuberculous meningitis (G01*),1,0,*)
A,Meningeal tuberculoma (G07 *),Meningeal tuberculoma (G07*),1,0,Meningeal tuberculoma (G07
A,Meningeal tuberculoma (G07 *),Meningeal tuberculoma (G07*),1,-1, 
A,Meningeal tuberculoma (G07 *),Meningeal tuberculoma (G07*),1,0,*)
A,"Tuberculosis of nervous system, unspecified (G99.8 *)","Tuberculosis of nervous system, unspecified (G99.8*)",1,0,"Tuberculosis of nervous system, unspecified (G99.8"
A,"Tuberculosis of nervous system, unspecified (G99.8 *)","Tuberculosis of nervous system, unspecified (G99.8*)",1,-1, 
A,"Tuberculosis of nervous system, unspecified (G99.8 *)","Tuberculosis of nervous system, unspecified (G99.8*)",1,0,*)
A,Tuberculosis of adrenal glands (E35.1 *),Tuberculosis of adrenal glands [E35.1*],3,0,Tuberculosis of adrenal glands 
A,Tuberculosis of adrenal glands (E35.1 *),Tuberculosis of adrenal glands [E35.1*],3,-1,(
A,Tuberculosis of adrenal glands (E35.1 *),Tuberculosis of adrenal glands [E35.1*],3,1,[
A,Tuberculosis of adrenal glands (E35.1 *),Tuberculosis of adrenal glands [E35.1*],3,0,E35.1
A,Tuberculosis of adrenal glands (E35.1 *),Tuberculosis of adrenal glands [E35.1*],3,-1, *)
A,Tuberculosis of adrenal glands (E35.1 *),Tuberculosis of adrenal glands [E35.1*],3,1,*]
A,"Rat-bite fever, unspecified","Rat-bite fever,unspecified",1,0,"Rat-bite fever,"
A,"Rat-bite fever, unspecified","Rat-bite fever,unspecified",1,-1, 
A,"Rat-bite fever, unspecified","Rat-bite fever,unspecified",1,0,unspecified
A,"Leptospirosis, unspecified","Leptospirosis ,unspecified",2,0,Leptospirosis
A,"Leptospirosis, unspecified","Leptospirosis ,unspecified",2,-1,","
A,"Leptospirosis, unspecified","Leptospirosis ,unspecified",2,0, 
A,"Leptospirosis, unspecified","Leptospirosis ,unspecified",2,1,","
A,"Leptospirosis, unspecified","Leptospirosis ,unspecified",2,0,unspecified
A,"Other specified zoonotic bacterial diseases, not elsewhere classified","Other specified zoonotic bacterial diseases,not elsewhere classified",1,0,"Other specified zoonotic bacterial diseases,"
A,"Other specified zoonotic bacterial diseases, not elsewhere classified","Other specified zoonotic bacterial diseases,not elsewhere classified",1,-1, 
A,"Other specified zoonotic bacterial diseases, not elsewhere classified","Other specified zoonotic bacterial diseases,not elsewhere classified",1,0,not elsewhere classified
A,"Zoonotic bacterial disease, unspecified","Zoonotic bacterial disease,unspecified",1,0,"Zoonotic bacterial disease,"
A,"Zoonotic bacterial disease, unspecified","Zoonotic bacterial disease,unspecified",1,-1, 
A,"Zoonotic bacterial disease, unspecified","Zoonotic bacterial disease,unspecified",1,0,unspecified
A,Other forms of leprosy,Other form of leprosy,1,0,Other form
A,Other forms of leprosy,Other form of leprosy,1,-1,s
A,Other forms of leprosy,Other form of leprosy,1,0, of leprosy
A,"Leprosy, unspecified","Leprosy ,unspecified",2,0,Leprosy
A,"Leprosy, unspecified","Leprosy ,unspecified",2,-1,","
A,"Leprosy, unspecified","Leprosy ,unspecified",2,0, 
A,"Leprosy, unspecified","Leprosy ,unspecified",2,1,","
