code,label,description,distance,specific,values
A64,Unspecified sexually transmitted disease,Unspecified sexually transmitted diseases,1,0,Unspecified sexually transmitted disease
A64,Unspecified sexually transmitted disease,Unspecified sexually transmitted diseases,1,1,s
B03,Smallpox,Smallpox1,1,0,Smallpox
B03,Smallpox,Smallpox1,1,1,1
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,Unspecifeid viral infection characterized by skin and mucous  membrane lesions,3,0,Unspecif
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,Unspecifeid viral infection characterized by skin and mucous  membrane lesions,3,-1,i
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,Unspecifeid viral infection characterized by skin and mucous  membrane lesions,3,0,e
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,Unspecifeid viral infection characterized by skin and mucous  membrane lesions,3,1,i
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,Unspecifeid viral infection characterized by skin and mucous  membrane lesions,3,0,d viral infection characterized by skin and mucous
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,Unspecifeid viral infection characterized by skin and mucous  membrane lesions,3,1, 
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,Unspecifeid viral infection characterized by skin and mucous  membrane lesions,3,0, membrane lesions
B59,Pneumocystosis (J17.3 *),Pneumocystosis (J17.3*),1,0,Pneumocystosis (J17.3
B59,Pneumocystosis (J17.3 *),Pneumocystosis (J17.3*),1,-1, 
B59,Pneumocystosis (J17.3 *),Pneumocystosis (J17.3*),1,0,*)
C64,"Malignant neoplasm of kidney, except renal pelvis","Malignant neoplasm of kidney,except renal pelvis",1,0,"Malignant neoplasm of kidney,"
C64,"Malignant neoplasm of kidney, except renal pelvis","Malignant neoplasm of kidney,except renal pelvis",1,-1, 
C64,"Malignant neoplasm of kidney, except renal pelvis","Malignant neoplasm of kidney,except renal pelvis",1,0,except renal pelvis
E41,Nutritional marasmus,Nutritional marsmus,1,0,Nutritional mar
E41,Nutritional marasmus,Nutritional marsmus,1,-1,a
E41,Nutritional marasmus,Nutritional marsmus,1,0,smus
F39,Unspecified mood [affective] disorder,Unspecified mood  [affective] disorder,1,0,Unspecified mood 
F39,Unspecified mood [affective] disorder,Unspecified mood  [affective] disorder,1,1, 
F39,Unspecified mood [affective] disorder,Unspecified mood  [affective] disorder,1,0,[affective] disorder
F54,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,Psychological and behavioural factors associated with  disorders or diseases classified elsewhere,1,0,Psychological and behavioural factors associated with 
F54,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,Psychological and behavioural factors associated with  disorders or diseases classified elsewhere,1,1, 
F54,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,Psychological and behavioural factors associated with  disorders or diseases classified elsewhere,1,0,disorders or diseases classified elsewhere
G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,Intracranial and intraspinal abscess and glanuloma in diseases classified elsewhere,1,0,Intracranial and intraspinal abscess and g
G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,Intracranial and intraspinal abscess and glanuloma in diseases classified elsewhere,1,-1,r
G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,Intracranial and intraspinal abscess and glanuloma in diseases classified elsewhere,1,1,l
